Название,Год,Тип активности,Формат работы,Город,Страна,Фестиваль/Программа,Площадка,Заказчик/Партнер,Тематика,Описание
Все мои друзья,2024,Художественная работа,Мурал,Екатеринбург,Россия,Стенограффия,,,,
Маяковский. Трибьют,2024,Участие в выставке,Выставочная работа,Санкт-Петербург,Россия,,,,,Выставка
Месторождения,2024,Кураторский проект,,Краснокаменск,Россия,,,,,Куратор проекта
Лаборатория Фантастический Сад,2024,Образовательный проект,Лаборатория/МК,Екатеринбург,Россия,,"Инклюзивная художественная студия, ЕЦ",,,
Души не чаю - Ярославль,2023,Коммерческая коллаборация,Мурал,Ярославль,Россия,,,"Самокат, бюро Новь",,
Души не чаю - Иваново,2023,Коммерческая коллаборация,Мурал,Иваново,Россия,,,"Самокат, бюро Новь",,
Души не чаю - Вологда,2023,Коммерческая коллаборация,Мурал,Вологда,Россия,,,"Самокат, бюро Новь",,
Проектная мастерская мурала,2023,Кураторский проект,,Екатеринбург,Россия,,Паблик-арт программа ЧО и интернат слабослышащих,,,
Кот пчела и дракон,2023,Коммерческая коллаборация,Мурал,Санкт-Петербург,Россия,,Севкабель порт,Билайн,,
Морские камушки,2022,Художественная работа,Мурал,Анадырь,Россия,,,,,
Деревянные идолы,2022,Художественная работа,Скульптура/Объект,Екатеринбург,Россия,Фестиваль паблик-арта ЧО,,,,
Морошка,2022,Художественная работа,Мурал,Анадырь,Россия,,,,,
Встреча,2022,Художественная работа,Мурал,Альметьевск,Россия,,,,,
Лаборатория плейбэк-театра,2022,Кураторский проект,,Пермь,Россия,Придумай Пермь,,,,
Цикл Луны,2022,Художественная работа,Мурал,Певек,Россия,,,,,"Триптих, Чукотка"
Академия фантастических существ,2021,Образовательный проект,Лаборатория/МК,Сатка,Россия,,Арт-Сатка,,,
Розочка,2021,Художественная работа,Мурал,Сатка,Россия,,,,,
Морской ковер,2021,Художественная работа,Мурал,Анадырь,Россия,,,,,Чукотка
Малая медведица,2021,Художественная работа,Мурал,Анадырь,Россия,,,,,Чукотка
Олень мироздания,2021,Художественная работа,Мурал,Анадырь,Россия,,,,Анималистика,Чукотка
Поцелуй,2021,Художественная работа,Мурал,Анадырь,Россия,,,,,Чукотка
